8cc,46.52,0.42
anypixel,6.08,0.06
AppImageKit,4.5,0.05
Arduino,5.38,0.05
arduino-esp32,7.57,0.07
Atlas,40.29,0.36
beanstalkd,22.0,0.19
bitwise,25.4,0.22
borg,75.81,1.48
brotli,12.66,0.24
c4,0.37,0.01
capstone,36.62,0.69
ccv,30.75,0.7
Cello,40.71,0.88
Cinder,8.24,0.15
citus,11.85,0.23
Craft,16.24,0.29
curl,121.65,2.65
darknet,65.42,1.33
darwin-xnu,53.68,1.02
db_tutorial,2.98,0.06
disque,84.39,1.88
dsvpn,2.04,0.04
fastdfs,20.72,0.39
ffmpeg-libav-tutorial,0.16,0.0
gb-studio,45.35,1.06
glfw,59.4,1.31
GloVe,3.07,0.07
goaccess,57.98,1.15
h2o,34.17,0.69
HandBrake,9.36,0.18
hashcat,15.94,0.31
hiredis,15.14,0.29
How-to-Make-a-Computer-Operating-System,18.41,0.33
htop,28.83,0.57
http-parser,6.7,0.13
i3,36.83,0.72
ijkplayer,68.06,1.26
ios-webkit-debug-proxy,15.14,0.28
ish,51.99,0.98
japronto,3.02,0.06
jemalloc,56.79,1.05
jerryscript,33.05,0.65
jq,46.47,0.85
kcp,2.03,0.04
kilo,2.21,0.05
kphp-kdb,88.28,1.66
lede,13.01,0.27
libevent,102.63,1.95
libgit2,101.88,1.91
libsodium,64.32,1.24
libui,51.6,0.97
libuv,3.38,0.06
lwan,34.34,0.62
lz4,26.94,0.52
macvim,89.77,1.8
masscan,45.57,0.86
meltdown,2.24,0.05
memcached,33.44,0.64
micropython,55.77,1.04
mimikatz,11.27,0.58
Mirai-Source-Code,9.47,0.19
mjolnir,45.97,0.83
mongoose,55.77,1.09
mozjpeg,8.58,0.18
mruby,61.72,1.2
nanomsg,45.65,0.9
netdata,38.88,0.71
nginx,31.69,0.63
nginx-rtmp-module,32.27,0.62
nnn,6.37,0.12
nodemcu-firmware,88.5,1.65
no-more-secrets,3.07,0.07
nuklear,23.7,0.59
numpy,82.25,1.71
obs-studio,3.38,0.06
openpilot,65.43,1.25
openssl,32.08,0.61
openvpn,74.67,1.61
openwrt,81.11,1.79
oss-fuzz,7.6,0.16
os-tutorial,13.17,0.35
phpredis,9.34,0.18
php-src,68.72,1.31
pifs,2.52,0.05
poco,32.11,0.59
postgres,71.45,1.35
progress,1.14,0.03
proxychains-ng,4.81,0.09
qmk_firmware,46.8,1.17
Quake-III-Arena,16.02,0.29
radare2,33.19,0.6
raspberry-pi-os,8.65,0.2
reactos,98.01,1.89
redcarpet,12.89,0.23
redshift,9.68,0.17
robotgo,0.49,0.01
robotjs,5.42,0.1
rofi,32.22,0.61
rufus,76.56,1.42
scrcpy,13.67,0.26
seafile,71.6,1.35
skynet,107.74,2.0
sqlcipher,70.97,1.45
stb,64.2,1.22
streem,27.35,0.5
sumatrapdf,76.82,1.46
sway,86.9,1.78
systemd,73.77,1.35
TDengine,91.17,1.93
tengine,33.87,0.67
tg,16.26,0.29
the_silver_searcher,4.44,0.09
tig,38.69,0.69
timescaledb,88.02,1.8
tini,1.08,0.02
tmux,71.36,1.5
torch7,18.58,0.34
toxcore,69.25,1.39
twemproxy,21.02,0.39
upx,4.11,0.08
vim.js,92.62,1.86
wcdb,86.31,1.98
winfile,10.99,0.21
wrk,10.73,0.19
xhyve,58.22,1.08
xLua,91.19,1.64
yaf,0.94,0.02
zfs,74.83,1.38
ZipArchive,25.87,0.47
zstd,18.64,0.35
