arduino-esp32,7.54,0.14
c4,0.37,0.01
citus,11.78,0.38
darknet,65.43,1.19
db_tutorial,2.92,0.06
ffmpeg-libav-tutorial,0.16,0.01
ijkplayer,67.43,1.27
japronto,2.98,0.07
kcp,2.0,0.04
kilo,2.18,0.05
nnn,6.3,0.18
phpredis,10.04,0.18
pifs,2.74,0.05
progress,1.11,0.03
redcarpet,12.94,0.24
redshift,8.63,0.17
robotgo,0.48,0.01
robotjs,5.1,0.1
streem,27.03,0.49
the_silver_searcher,4.2,0.08
torch7,18.31,0.34
twemproxy,20.89,0.39
winfile,10.98,0.2
wrk,10.84,0.19
yaf,0.93,0.02
ZipArchive,24.71,0.46
